country,region,level1,level2
Albania,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Algeria,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49)
American Samoa,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Polynesia (M49)
Angola,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49)
Anguilla,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Antigua and Barbuda,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Argentina,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Aruba,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Australia,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49)
Azerbaijan,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Bahamas,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Bahrain,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Bangladesh,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49)
Barbados,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Belgium,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49)
Belize,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49)
Benin,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Bermuda,Northern America (M49) and Europe (M49),Northern America (M49),Northern America (M49)
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Brazil,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
British Virgin Islands,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Brunei Darussalam,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49)
Bulgaria,Northern America (M49) and Europe (M49),Europe (M49),Eastern Europe (M49)
Cabo Verde,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Cambodia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49)
Cameroon,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49)
Canada,Northern America (M49) and Europe (M49),Northern America (M49),Northern America (M49)
Cayman Islands,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Chile,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
China,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),Eastern Asia (M49)
Christmas Island,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49)
Cocos (Keeling) Islands,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49)
Colombia,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Comoros,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Congo,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49)
Cook Islands,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Polynesia (M49)
Costa Rica,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49)
Côte d'Ivoire,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Croatia,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Cuba,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Curaçao,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Cyprus,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Democratic People's Republic of Korea,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),Eastern Asia (M49)
Democratic Republic of the Congo,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49)
Denmark,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Djibouti,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Dominica,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Dominican Republic,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Ecuador,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Egypt,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49)
El Salvador,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49)
Equatorial Guinea,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49)
Eritrea,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Estonia,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Falkland Islands (Malvinas),Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Fiji,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Melanesia (M49)
France,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49)
French Guiana,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
French Polynesia,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Polynesia (M49)
French Southern and Antarctic Territories,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Gabon,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49)
Gambia,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Georgia,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Germany,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49)
Ghana,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Gibraltar,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Greece,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Grenada,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Guadeloupe,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Guam,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49)
Guatemala,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49)
Guernsey,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Guinea,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Guinea-Bissau,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Guyana,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Haiti,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Heard Island and McDonald Islands,Australia and New Zealand (M49),Oceania (M49),Australia and New Zealand (M49)
Honduras,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49)
India,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49)
Indonesia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49)
Iran (Islamic Republic of),Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49)
Iraq,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Ireland,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Israel,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Italy,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Jamaica,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Japan,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),Eastern Asia (M49)
Jersey,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Jordan,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Kazakhstan,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Central Asia (M49)
Kenya,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Kiribati,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49)
Kuwait,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Latvia,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Lebanon,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Liberia,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Libya,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49)
Lithuania,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Madagascar,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Malaysia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49)
Maldives,Central Asia (M49) and Southern Asia (MDG=M49),Asia (M49),Southern Asia (MDG=M49)
Malta,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Marshall Islands,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49)
