date,Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,Aruba,Australia,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bermuda,"Bonaire, Sint Eustatius and Saba",Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Falkland Islands (Malvinas),Fiji,France,French Guiana,French Polynesia,French Southern and Antarctic Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Honduras,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Latvia,Lebanon,Liberia,Libya,Lithuania,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Niue,Norfolk Island,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Réunion,Romania,Russian Federation,Saint Barthélemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French Part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Syrian Arab Republic,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States minor outlying islands,United States of America,United States Virgin Islands,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Faroe Islands,Finland,Greenland,Iceland,Svalbard and Jan Mayen Islands
2005-01-01,0,0.3515167,0.0511535,9.7345133,0,0.7083182,3.9528749,0.138217,1.9984709,0.0823893,0.2408357,6.1855669,0,0.0112511,0,0.5357143,0,0.0547752,0,0.6706442,0.0492611,3.1141868,10.8083563,0.7967617,0.4793028,0,6.7566075,0,3.9348896,2.4064705,0.0575963,0.0581473,0.7975478,0.1656262,11.1678829,0.0783806,0.2375731,0.2747253,0,0.0622313,0.0823045,0,0.287748,34.18647,1.2297962,0.2890173,0.4291846,1.2905456,2.7507794,0.432769,0.4836228,0.1663617,3.8981702,0,3.6792223,4.2679067,0.209893,30.8053799,0.0786642,6.3055544,1.0516366,0,0.2083333,5.3821311,0,0,0.0715768,0,0.1575157,0.1705629,0.5283019,0.2409639,11.2240572,4.1631265,1.4768938,0.2164502,0.1239196,0.7668108,0.3374982,2.4152837,0.2942958,0,6.1945767,0.2928258,0.1448471,0.0239559,0.3282539,3.8461537,0,0.5415162,1.8718094,0.0185659,0.1680672,0.4834254,0.0880282,0.055991,0.4436557,0,12.1065741,1.709653,0.9541233,0,0.1283319,0.4332756,2.1479995,0.7444595,0.4067585,0.1841414,0.4707083,0,0,0,2.7852824,1.1477965,0.8291595,6.4269772,0,17.7956791,9.4404707,5.8123555,0.165692,0.0979432,2.3965003,0.2957808,0.0478558,0,0.9733421,0.0264015,1.3595219,2.8505094,6.3378758,5.5964546,1.1413147,0.1479085,2.7871215,0.2650861,1.2373306,2.4615386,1.6663983,2.6476707,63.5747795,2.8140006,0,0.4511602,0,0.2713704,7.1428571,1.3861386,0,0.0796178,1.6383244,1.223079,1.0749077,1.1419611,26.5927982,0,0,0,6.8709464,0.2468131,1.5765301,10.7892876,3.4917588,3.1835206,0,1.318328,7.7809796,0.2250985,0,0.1919659,1.0860711,0,0.0593472,7.2434969,0.874795,0.712424,0.1058003,0.2745744,0.1084599,0.1100576,14.4540453,0,0.9373236,0.4561403,0.0106426,3.3863075,0.1069519,0.0143143,39.886776,0.6718875,0.3213985,0.3570578,3.6075337,0.2332753,0,0,0,0,0
2005-02-01,0.2677376,0.377555,0.4891969,11.9776783,0,0.4176503,5.8100343,0,2.4286008,0.8964955,0.537937,0,2.4509804,0,0,1.189768,0.1925546,0.8481174,1.2594458,0.8599079,0.1970443,0.098912,0.591716,0.562218,0,5.9574466,3.6537242,0.034089,9.3240738,1.4007607,0.0448143,0.1432601,18.0389118,0.063955,14.1361256,0.1589722,2.2589593,0.2042332,0.1136041,0.2093115,0.0823045,0.0359712,0.0153046,28.8732395,8.7959623,0.2890173,0,0.7200876,3.1052611,0.0987017,0,1.3425726,5,1.7992084,1.1876138,3.0570662,0.0321647,11.8009405,0.1535587,4.4891605,10.1033154,5.4200544,0,4.3447957,0.3512397,0,0.1826909,0,0.1124859,0.2303917,1.4342328,0,10.0187855,8.1750622,2.4394083,0.1377681,0.2185355,0.019658,0.9665861,1.5309809,1.158969,0,1.3474699,0,1.4116197,0.1517451,0.2183062,0,0,0,0.3684313,0.1107842,0,0.681431,0,0.3252486,0.0394575,0.1872659,1.1157625,1.3323716,7.4687357,0,0.1512651,0,0.8248881,2.148051,0.2819549,1.0506995,0.7663461,0,0.2506266,0,0.0321626,0.5450941,1.5063392,9.7120171,0.2396969,1.3563771,2.8202734,4.2584934,0.0682328,0.9626274,3.7454846,2.9012613,0.0345616,1.8410734,1.067732,0.017618,14.1239424,6.1496129,5.9696164,14.193819,1.2211381,0.2383321,0.2936242,0.2899098,0.7766224,2.1578298,0.0764161,21.6478596,0.1089325,3.0808771,0,1.7591447,0.4301075,0,0,3.1325302,0.1146789,3.3439491,0.1643926,0.3831418,9.1015368,3.9077079,1.6660002,0,0,0,13.229351,0.9383305,2.7535462,19.4454231,10.6969042,0.190908,0,1.1257639,8.2694759,2.3942695,0,0.6299101,0.0271444,0,2.9900863,2.008008,13.5556164,2.6416407,0.7100149,0,0.4339336,0.7519783,0.2836355,0.4937334,0.4362561,1.2052432,0.0738211,1.9356894,0,0,24.0671272,3.8396738,0.2165088,7.9626579,10.2388372,0.2729214,2.2453084,2.2106631,1.4215108,1.6207917,0
2005-03-01,19.2771091,15.896368,0.0971619,14.5392323,0,0.2542219,3.5232673,0.0691085,2.1864183,0,1.4353619,0,3.5927029,0.1911186,0,2.0226057,0.3472222,10.9592304,0,0.7511129,0,0.4945599,3.1789281,0.0819819,0.2612103,6.1320753,5.352664,0.0511335,7.8116283,3.801589,0.0191988,0.2012432,0.6216669,0.7388535,16.2261372,0.2800477,0.9104648,0.2546234,0.1702611,0.3620114,0,0.0179856,0.4199855,34.8460274,1.2463936,0.5780347,0,0.2073852,2.5524547,0.0911093,0.0439657,12.0998659,0.0789058,0.4035513,3.7285335,2.1270876,5.9143968,1.2978585,0.1167295,1.9680597,6.0257196,0.5395684,0.625,0.6493506,0.4188273,0,3.4034786,4.3265305,0.0449944,0.9616348,0.0188679,0,14.8940592,26.8770409,6.6729617,0.0983865,0.9133976,1.208964,1.1887511,4.5313449,3.1136794,9.8360653,33.341507,0,11.9299974,0.1197796,0.8238462,0,0,3.4530196,2.3238239,0.1497988,4.3697481,0.2007025,0,0.1404776,0.0049295,0,3.2124698,5.1434097,13.7305756,0.8612123,0.4672552,0.0433088,4.0650406,1.4180897,3.4633386,2.2925301,0.2792723,0,13,0,11.3386135,5.4008141,2.0473688,19.6886864,0.0069295,1.0139931,6.0685301,1.7024469,0.5556097,1.6755916,4.2775664,0.2218356,0.0478545,7.9071107,4.2011619,21.5279007,10.4329214,0.2958009,2.661351,12.2580166,3.8148637,0.2565288,0.166044,7.603878,0.0131631,0,0.6123269,0.283679,0,0.7935925,0,2.6567771,0.2150538,0,0,0.8433735,5.5619268,13.9171972,0.083682,0.2390438,1.2683578,5.797812,0.9577015,0,0,0,5.616785,3.9456558,4.5416937,17.7127724,7.8205805,0.0477289,0,0.1286174,4.1400256,1.6984966,0,1.8521147,6.8675351,0.1390821,0.3818302,1.6166421,2.2696199,7.9770594,1.3754045,0,0.4121475,0.3652301,7.5933795,0.1894657,11.5349321,0.4640981,0.072409,2.9375536,0.0534474,0.2149613,21.8000584,3.0048823,8.4739122,12.0647259,8.0864029,0.3832932,5.2445831,1.6779864,6.0719118,9.5877485,0.4280767
2005-04-01,0,8.2541332,5.7226143,24.03269,0.2231645,0.054486,2.1657088,14.4144144,1.5904057,0.02035,1.2728297,0,2.5497859,0.1461824,0,1.3087448,1.188455,10.5176916,1.7647059,0.8964872,0,8.893281,0.5449591,0.1051929,0.0869187,4.6341462,11.4681091,0.1363559,6.8735809,1.5851566,0.0639959,0.0849694,1.5505517,4.0891719,15.616622,0.1901896,0.1830094,0.0255102,0.680658,0.6844665,1.734104,0.0179856,1.4908091,1.1627907,0.2535439,1.4450867,0.071736,1.2270292,0.0406653,0.6985573,0.9672455,0.4378603,5.9442401,0.6463527,1.0484703,2.0629888,17.2214718,7.7863364,0.1312242,0.7088934,10.5393744,0.2697842,0.5559416,0.865897,0.3177674,0,0.4223033,0.8979592,0.0225124,0.1402384,0.0944287,21.8220348,1.7647059,0.0829187,3.9930556,0.1574183,0.5208517,0.3538779,1.339058,4.3742986,5.328505,0,12.689127,0.9516838,16.3990993,0.4551625,2.0962136,0,75,0.2320819,0.7941009,0.1689492,0,0.0412882,0.0879508,0.4034789,0.1873213,0,1.335178,7.2157617,0.8290684,0.5299768,1.6033399,0.389948,1.0371244,0.0557796,2.1840873,1.3225483,0.6079229,50,0,0,15.8175735,3.4897714,0.9254627,20.7062263,3.3701658,0,2.241924,1.0083588,3.4506288,2.190191,4.5899515,0.0782949,0.518424,1.9882671,3.5622208,40.5051041,1.7025244,7.5735059,2.915961,9.465416,1.5646986,0.2264133,0.083022,9.1005335,1.3689615,0.0615006,1.7808769,0.0315199,16.5711308,5.2794476,0,0.1008956,0,0,0,2.5301204,0,42.8662415,0.6404709,0.522355,0.6008011,0.0332037,0.2434077,0,0,0,3.8513558,4.3117476,2.2536919,5.6037674,18.8475056,0.12328,5,0.3858521,21.9996796,1.2668544,1.3745705,5.438323,0.8143322,0,0.2040816,2.6918063,4.4906902,20.9739132,0.124533,0,0.6075071,1.1969991,5.5679784,0.3410383,4.0346575,3.9323874,0.1059141,8.0871153,4.8663101,0.0724953,15.4198523,12.2414255,3.8206029,6.6084886,11.7064724,3.7338495,12.1289644,2.0954599,7.9389424,23.4419556,7.2501884
2005-05-01,0,0.0520766,0.0357965,18.0781975,0,0.0181587,1.2333831,0.0691085,0.999493,0,0.5127724,0.2570694,6.3447499,0.0112435,0,1.9631172,0,0.3667148,0,2.8646827,0.0492611,0,0,1.628104,0.0878735,13.7777777,9.4032927,0.034089,3.106853,2.5026569,0.0255984,0.0223604,1.4328181,0.0509554,6.6793895,0.068967,0.0929472,5.4241128,0,0.8484163,0,0.0539568,1.9675926,1.4010508,0.0577567,19.6531792,0.071582,1.1521401,3.7536621,0.1138779,0.5496922,21.941885,4.0252566,0.9225093,2.4438167,0.4238226,9.281889,22.3103065,0.0972981,0.3320077,35.8707199,0.270027,0.0693962,8.7723217,2.183984,8.333333,0.0608381,0.0816327,0.0224972,0.010017,0.3590325,3.6016948,0.0414594,0.0272777,3.2268219,0.1180638,0.7271405,0.1769737,0.8795938,4.0003829,3.3543158,0,2.7277737,0.3660322,9.0388174,0.0559016,3.0273023,0,0,0.0136463,0.8320726,0.5054786,0.5016723,0.0412882,0,9.37391,0.009858,0.8880995,0.7751809,0.654335,0.6854867,0,0.7588559,0,3.1946247,1.0319563,0.24961,1.280063,0.1929482,0,0,0,9.6031389,0.0636988,1.45412,7.2100315,0.0138122,11.4629259,1.0649862,1.5156909,0.4500538,1.3063118,1.8821293,0.0173989,0.1169777,2.9856162,5.2549391,0.492871,0.1795766,1.002893,0.2917345,5.3158975,0.2063317,0.067021,0.4568106,0.8873544,0.4607082,5.289053,0.5816869,0,0,12.1614923,0,0.2707017,0,0,0,0,0,0.2547771,16.7540131,6.3639584,0.5508263,0.01265,1.2344041,0,0,0,4.7355585,13.3098307,0.573372,26.3337498,11.3423004,0.0477517,0,0.0643087,0.5430443,0.1625327,0.3436426,0.8816398,0.4343105,1.9390582,0.0592495,0.0632206,7.2717333,3.1961091,0.1742702,0.0272777,0.4772234,2.9330785,2.0465221,6.4160972,2.8825738,0.1490967,0.0480497,7.980197,0.0534474,1.0388111,0.7314903,1.0612317,1.2391504,0.0872531,4.0022159,13.5806856,0.262133,0.7016201,16.7544136,23.4042549,8.2000952
2005-06-01,0.2677376,0,0.0409186,15.4912348,0,0,1.1070828,0.0691085,0.5392424,0,0.2690022,0,22.3639259,2.159487,0,0.297442,1.336675,0.011705,0,1.0604151,0,0.0494315,0,0.2430888,0.7423581,7.2222223,7.8417301,0.0170474,2.6742671,7.7529922,0,0.1885606,1.2061888,0,79.2746124,0.0574749,0.1244313,2.3454158,0,0.876796,0,0,0.7840236,14.4097223,0.0576967,4.1176472,0,0.5076728,2.2805734,0.5769377,0.0219925,45.3296051,7.007163,0.0307598,12.8205128,2.1015179,0.5353914,37.4656525,0.127305,0.7211855,38.5102844,0.2702703,0,6.3083076,6.8628411,4.1666665,0.0501002,6.4489794,0,0.0200341,0.1892506,0,1.6097455,0.5455068,1.116879,0.3148367,0,1.6817466,3.8262589,0.6420147,0.1638355,0,2.0046592,1.0248902,0.6562327,0.1198945,1.4460115,0,0,0.0136444,0.0947688,0.1342415,0,0.4541701,1.2313105,3.1517856,0.1183082,0,0.0133353,0.4267961,2.2188766,0,0.0923448,0,0.3064592,0.7424096,0,1.6653898,0.1182799,0,0,0,9.0330048,0.8777518,10.6134968,1.7724693,0.0138122,0.440088,0.0967824,0.634909,0.4604683,2.4667189,0.1584284,0.1392152,1.1033419,8.6578779,4.2767706,2.2879016,0.100145,0.2646221,0.1169528,10.1944208,0.411383,0.1294917,1.744186,1.0773431,0.0263262,1.7824216,1.785084,0.006304,1.1470282,15.2072144,0,0.3379999,0,0,0,0,7.4223247,0.0477707,30.3127003,6.8701539,0.2538071,0.186579,3.8533542,0,0,0,2.7010734,6.311193,0.8210201,0,0.7049225,5.7288094,0,2.2727273,0,0.1837716,0.3436426,1.721633,0.1628664,2.0512822,0.0394997,0.0451576,18.3310528,1.9280876,0.0248942,0,0.5425347,0.1179974,2.9184837,1.5547972,2.2717607,0.0700832,0.0063856,5.2164335,0,7.0228348,0.055956,1.5334015,0.9284528,0.0713889,6.5420561,1.966668,0.1124227,0.3577361,8.6042223,25.6449394,17.23839
2005-07-01,0,0.0520766,0.0102276,7.5405846,0.0892658,0,0.2854384,0,1.4728227,2.8478439,0.2533308,0.2570694,15.2104206,0.0112435,1.1583011,0.892326,3.5897436,0.0312098,0,0.4076718,0.0492611,0,0.1362398,0.2924452,5.7070708,4.5977011,4.8475223,0.0681779,4.1771955,2.7456734,0.0063996,0.5021971,1.3808868,0,41.1764717,0.0188086,0.0999667,19.3339272,0.5107832,4.2981563,0,0,0.8015156,33.3333321,0.1038541,10.8013935,0,0.9677977,1.9351488,0.1973884,1.0334213,9.1424627,13.7008514,9.020936,0.3858245,9.6951199,0.0572122,12.1564827,0.0397544,2.5941432,25.6827431,7.2202168,0,0.0666667,2.4761121,0,0.0572574,0,0.0225023,0.0701192,0.3018868,0,0.4630604,0.4667765,5.0141463,4.0731997,4.517272,4.2764449,7.3773899,1.1903875,5.9861655,1.6129032,7.1812019,0.1464129,0.1571213,5.1437697,1.6351994,0,0,0.0546299,0.2839296,7.1604877,0.837521,24.1535912,2.5528169,1.629061,0.0295727,13.854352,0.1500225,0.4912664,1.8918668,0,0.0986421,0,4.0105667,0.0793957,0.0312012,3.5838408,0.0978832,0,0,0,1.6209958,0.0176929,4.6386371,4.8420248,3.9709945,0.5826803,0.098482,0.6936065,2.5278158,10.6267033,0,0.0260983,1.542184,7.7538543,6.3858075,17.4629326,6.6903963,0.3813782,0.6301792,8.73388,0.934927,0.1109391,7.8455791,0.0613297,0.0526593,1.5375154,7.0293522,0.012608,14.069828,10.6886606,0,1.1863089,0,0.1356852,0,0,1.146789,0.0477707,5.7608695,11.5183249,4.2574592,0.2276752,1.2491229,3.5714285,0,0,3.4331658,2.980078,2.0806422,0,1.9882921,2.5360301,0,12.1573687,6.1143041,15.2384319,0,1.9825535,0.6514658,0.5136986,0.0263331,0.0090315,10.5550995,0.7816571,0.1742594,0.2724053,0.7375271,6.2561507,3.2885907,0.5701254,5.656549,0.052627,1.3494817,5.5800757,0,1.5481651,0.098694,0.9578714,0.460101,0.8328706,11.3349953,7.0158186,3.7534719,2.7806122,10.3707132,5.3543763,13.5534153
2005-08-01,0.2677376,0.1432105,0.0511378,2.8349295,0.0223164,0,0.8009087,0,2.637491,2.8885272,0.2345436,0,27.3623466,0,0,7.0279927,12.1011438,0.0039012,0.0839631,0.2315864,0,0.6944444,0.0454133,0.0697981,3.6059806,6.25,2.9062536,0.0170445,4.5459051,10.412138,0,0.3309629,1.9651749,0.0127389,19.927536,0.0417968,1.6573466,11.1125469,0.0567215,2.0365446,0,0.0359712,0.9705925,22.8070183,1.0385414,16.1825733,0,1.3019934,2.1439366,0.5769377,1.0771598,26.7596645,4.0901504,0.0308071,0.9927249,4.3450074,1.9101071,3.4098256,0.1133408,0.2036323,18.1598072,1.0869565,0.9021513,0.6662225,19.7016907,20.833334,0.1467273,0.244898,0.0225023,0.3030609,1.121673,0,3.2124352,0.2904163,4.472693,1.5151515,1.0147388,2.7223587,5.0056458,2.2332692,5.4279752,0,0.830295,6.295754,2.421591,0.3832947,2.4231825,0,0,0.7646095,0.0567001,10.0953922,0,0.4541701,2.5505717,1.4635519,0.882295,4.2704625,0.6250833,0.9437171,2.403523,0,0.1332704,0,2.2360249,0.536536,0,4.028563,0.1805182,0,0.25,0,3.3852491,1.5963472,8.0201063,0.9158657,0.7596685,1.522131,0.1409336,11.1146908,4.2858539,3.218513,0.0380228,0.0173989,3.5203373,7.4557357,5.3019209,25.9919758,0.3161369,3.2610168,2.0495439,5.8339653,2.5346267,1.0701739,0,0.8249993,0.0789889,0.0614628,7.7792287,0.012608,18.1960373,6.6679044,0,1.099483,0,0,1.7857143,0,0.1146789,0.0318471,0.3662298,1.9798448,1.1465183,0.382651,2.0636792,4,4.5454545,0,1.9488524,2.9693825,0.1578197,1.3015133,4.1493845,4.6901107,0,12.8146458,0.9570904,0.8280255,2.5773196,0.9053322,7.4104233,17.5656986,0.0263331,0.0331156,6.5919037,5.1772065,0.4046567,0.4633415,1.8655097,2.1717143,10.9259672,1.1406844,6.9204493,0.0350447,8.0160065,4.6529369,0.0534474,1.0594131,0.1381988,2.2388721,7.2058949,0.2062346,4.7718129,9.0890932,16.6173553,0.6282051,5.4967146,11.9395142,12.1515741
2005-09-01,0,0,0.0255689,7.9700222,0.0446329,0.0363174,16.9443054,1.1748445,1.1623862,1.3640065,0.4409006,0.2570694,26.9353542,3.8336143,0,2.1415825,0.5739796,0.0156049,3.9462636,0.7734108,0.0985222,1.8280632,5.0862851,0.1512123,8.9838638,11.9918699,4.5992417,0.034089,10.7046194,4.8537564,0,0.0089461,1.2766279,0,14.1206675,0.0501562,5.3147316,3.3702214,1.2198582,1.4480457,0,0,0.4484954,23.3830853,0.0345861,15.6069365,0,0.3053171,2.021426,0.3492521,2.7704484,7.2087746,2.5013165,0.0923645,9.5714703,0.1154369,0.6514508,4.5748463,0.1112267,0.6635441,5.987277,0.3626473,0,0.0221582,2.5342989,0,0.0823134,1.6326531,0,0.3713741,1.157715,0,0.3524777,0.165426,0.6432381,1.3577331,0.3148089,1.2486482,14.0264921,1.7568372,12.5043116,0,0.2513795,1.6837481,1.3095459,0.2156377,1.265448,0,0,1.4478897,0.510397,5.8256211,0,0.2478315,0.7042254,2.7321877,0.3893927,4.0925269,0.9720231,0.5973163,7.665586,0,0.2288209,12.2996969,4.8584905,0.040762,0.0312012,6.4067512,0.957152,0,0.25,0.5730659,5.4097519,0.9236649,6.0977397,1.9216684,9.6270714,0.0400481,0.1018745,7.6900988,3.484699,3.1370137,0.0443599,0.0913441,1.1778156,2.793236,8.439496,4.0235958,1.8846774,1.660727,1.8284094,17.4643917,1.4737179,1.4583188,0,0.5816541,0.1843075,0.1228501,2.3697159,0.0756573,9.4841061,8.9824324,0,5.0809174,0,20.3527813,0,0,5.5619268,0.111465,0.8640864,0.6376196,1.0702341,0.2245166,1.7930468,0,0,0,0.3872306,4.9123378,0.4185643,0.6162097,1.1486994,10.3198595,8.333333,0.2250804,1.8500798,0.437915,0,5.2360206,0.2714441,1.4409221,0.0065833,0.0361272,0.9021323,0.0521286,0.1182695,2.6186578,0.2819957,2.5453727,7.4893808,0.3793627,1.6748413,0.1138653,4.1519399,5.883255,0,4.9806786,0.0296033,6.4947724,7.70824,0.0634618,7.573555,8.3853769,3.3119538,0.3313791,9.2198877,0.8792839,13.4645882
2005-10-01,0.1338688,0.1171722,0.046024,6.3139853,0.5355948,0.1452697,14.9578791,0.2073255,2.7294519,0,0.5443624,0,10.5096798,2.6534743,0,13.0279598,2.3451593,0.0585183,0.0839631,0.5129439,9.8029556,1.8325903,16.8105412,0.5073931,0,7.5320511,8.0641756,2.5960541,12.6924067,5.5995908,0.0576812,0.1444174,2.5691941,0,24.1097927,0.0376172,4.7354288,0.3369104,1.361316,5.831069,0.0823045,0,0.0289352,5.7947021,0.2073972,72.8323669,0.0715308,2.8958647,3.5891643,1.2983069,5.2330694,0.1066553,0.6838506,0.2462296,47.7732697,0.1992189,0.6168151,9.7462425,0.0638602,5.1579466,3.4420698,1.2704175,0.0693962,0.0886721,1.5971439,0,0.0787345,0,0.3149606,0.3706301,18.9163685,0,0.3532835,2.9719317,0.2666667,8.2639713,0.3867973,16.2755566,5.2850718,2.7914748,1.5618259,0,0.3652884,0.5124451,1.2172948,5.3531299,0.8049564,0,0,0.1502938,0.0755858,0.676148,0,0.0825764,0,1.1529332,0.1182965,1.0638298,0.1500025,1.3714387,8.8304768,0,0.2686508,6.4124784,0.2947418,0.7047617,0.062422,7.9698386,0.302721,0,0,0.5730659,2.09057,2.1055984,0.2810521,6.6650329,1.9198895,0.2001601,0.0764046,3.8268547,13.6288195,1.938924,4.3409381,0.0043497,1.3984526,1.4926801,3.5004902,2.8159099,4.1013603,5.4855342,4.031064,9.0295334,0.7460318,0.1409753,0.705687,2.1963887,2.9493089,0,2.7252195,0.0315199,4.4293904,7.1269507,0,5.1742167,0.2150538,0.9497965,1.7857143,0,0.7454128,0.0796178,0.2828148,0.1860383,2.058233,0.082216,0.0793756,0,0,0,0.1965898,8.2302856,1.5124915,1.3687685,2.044857,2.9759769,0,0.128783,0.0159617,2.3270619,0,0.5489614,0.0271444,1.2448133,0.0131666,3.2513473,3.1728666,0.0695169,8.7892933,0.0272702,1.0414406,0.8793617,5.1872554,0.5703422,1.3270378,0.043802,0.0628763,5.0040512,0.5347593,12.6002293,0.0230278,0.8638639,7.181253,0.0396605,5.1301579,10.2327051,0.3444092,2.6622295,6.6571255,0.5523282,2.2900763
